param_C,param_penalty,mean_train_score,mean_test_score,std_test_score,rank_test_score
0.001,l1,0.3333333333333333,0.3333333333333333,0.0,11
0.001,l2,0.9874957009875194,0.9699248120300752,0.024556288148202286,9
0.01,l1,0.3333333333333333,0.3333333333333333,0.0,11
0.01,l2,1.0,0.9799498746867169,0.024556288148202286,5
0.1,l1,0.9674949210814191,0.9598997493734336,0.05845565809368722,10
0.1,l2,1.0,1.0,0.0,1
1.0,l1,1.0,0.9699749373433584,0.0400125607629991,6
1.0,l2,1.0,1.0,0.0,1
10.0,l1,1.0,0.9699749373433584,0.0400125607629991,6
10.0,l2,1.0,1.0,0.0,1
100.0,l1,1.0,0.9699749373433584,0.0400125607629991,6
100.0,l2,1.0,1.0,0.0,1
