param_C,param_gamma,mean_train_score,mean_test_score,std_test_score,rank_test_score
0.1,0.001,0.9499874951145919,0.9197979797979798,0.04010291830688765,4
0.1,0.01,0.827574368524504,0.7535612535612536,0.07621082621082625,8
0.1,0.1,1.0,0.46809971637557846,0.07552495248775572,12
0.1,1.0,1.0,0.46714733542319753,0.22003027980368917,13
1.0,0.001,1.0,0.9599498746867168,0.03743001836876668,3
1.0,0.01,1.0,0.8986783396528988,0.032677212046645636,5
1.0,0.1,1.0,0.5614163614163614,0.11714758544699003,11
1.0,1.0,1.0,0.39190924018510226,0.07695705248858602,16
10.0,0.001,1.0,0.9699248120300752,0.024556288148202286,1
10.0,0.01,1.0,0.8986783396528988,0.032677212046645636,5
10.0,0.1,1.0,0.5890923890923891,0.13065704535871742,9
10.0,1.0,1.0,0.4123899089416331,0.07211706876947348,14
100.0,0.001,1.0,0.9699248120300752,0.024556288148202286,1
100.0,0.01,1.0,0.8986783396528988,0.032677212046645636,5
100.0,0.1,1.0,0.5890923890923891,0.13065704535871742,9
100.0,1.0,1.0,0.4123899089416331,0.07211706876947348,14
